epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.37542468309402466,9.999999747378752e-05,1.7011363506317139,0.470085471868515,0.21800678968429565,0.6613756418228149,1.1090097427368164,0.8877550959587097,0.230158731341362
1,0.5668176412582397,9.999999747378752e-05,1.1467312574386597,0.6769366264343262,0.4354473352432251,0.7486772537231445,0.8433964848518372,0.8780487775802612,0.4761904776096344
2,0.6489241123199463,9.999999747378752e-05,0.9737812876701355,0.7228549718856812,0.5390713214874268,0.761904776096344,0.7076022624969482,0.8576778769493103,0.6058201193809509
3,0.6772366762161255,9.999999747378752e-05,0.854945719242096,0.7445306777954102,0.5973952412605286,0.7910053133964539,0.6128441691398621,0.860927164554596,0.6878306865692139
4,0.712910532951355,9.999999747378752e-05,0.761624813079834,0.7756064534187317,0.6517553925514221,0.7962962985038757,0.5692206025123596,0.8424437046051025,0.6931216716766357
5,0.7332955598831177,9.999999747378752e-05,0.7177908420562744,0.7908669710159302,0.6766704320907593,0.8148148059844971,0.5314438939094543,0.8513931632041931,0.7275132536888123
6,0.7502831220626831,9.999999747378752e-05,0.6745471954345703,0.8029909133911133,0.6993204951286316,0.8015872836112976,0.5187949538230896,0.8388059735298157,0.7433862686157227
7,0.7740656733512878,9.999999747378752e-05,0.608160674571991,0.8232618570327759,0.7174405455589294,0.817460298538208,0.5049188733100891,0.8333333134651184,0.7407407164573669
8,0.7814269661903381,9.999999747378752e-05,0.5829631090164185,0.8294229507446289,0.740656852722168,0.8148148059844971,0.4955686926841736,0.8396501541137695,0.761904776096344
9,0.7967157363891602,9.999999747378752e-05,0.5713114738464355,0.8372092843055725,0.7542468905448914,0.8280423283576965,0.47250834107398987,0.852173924446106,0.7777777910232544
10,0.8012457489967346,9.999999747378752e-05,0.5618736147880554,0.8336459994316101,0.7548131346702576,0.8253968358039856,0.4592645764350891,0.849711000919342,0.7777777910232544
11,0.8182333111763,9.999999747378752e-05,0.5077391266822815,0.8511165976524353,0.7768969535827637,0.8359788656234741,0.4490223526954651,0.8628571629524231,0.7989417910575867
12,0.8176670670509338,9.999999747378752e-05,0.4895402789115906,0.857763946056366,0.7819932103157043,0.8439153432846069,0.4429837167263031,0.8526912331581116,0.7962962985038757
13,0.8278595805168152,9.999999747378752e-05,0.48741641640663147,0.8638905882835388,0.787089467048645,0.8544973731040955,0.43138444423675537,0.8668555021286011,0.8095238208770752
14,0.8516421318054199,9.999999747378752e-05,0.4257068336009979,0.8808068633079529,0.8159682750701904,0.8544973731040955,0.43247443437576294,0.8563380241394043,0.8042327761650085
15,0.8510758876800537,9.999999747378752e-05,0.4240987002849579,0.8796352744102478,0.8193657994270325,0.8465608358383179,0.4323769509792328,0.8579387068748474,0.8148148059844971
16,0.8369196057319641,9.999999747378752e-05,0.42471253871917725,0.8639951348304749,0.8057757616043091,0.8465608358383179,0.43284323811531067,0.8642659187316895,0.8253968358039856
17,0.8595696687698364,1.9999999494757503e-05,0.39108628034591675,0.8870673775672913,0.827293336391449,0.8492063283920288,0.43359407782554626,0.8607242107391357,0.817460298538208
18,0.8567383885383606,1.9999999494757503e-05,0.3949200510978699,0.8831406235694885,0.8216307759284973,0.8439153432846069,0.43599075078964233,0.8575419187545776,0.8121693134307861
